source,tokenizer,token,count
pantip,pantip_unigram,เปลี่ยน,282
pantip,pantip_unigram,สี,214
pantip,pantip_unigram,ไอ,185
pantip,pantip_unigram,แพ,150
pantip,pantip_unigram,เครื่อง,225
pantip,pantip_unigram,%,182
pantip,pantip_unigram,เกือบ,97
pantip,pantip_unigram,สาม,85
pantip,pantip_unigram,ปัญหา,146
pantip,pantip_unigram,เกิด,275
pantip,pantip_unigram,หัว,226
pantip,pantip_unigram,ทํายังไง,162
pantip,pantip_unigram,ือ,195
pantip,pantip_unigram,ขาย,245
pantip,pantip_unigram,รบกวน,125
pantip,pantip_unigram,ข้อ,317
pantip,pantip_unigram,F,296
pantip,pantip_unigram,อย่างไร,124
pantip,pantip_unigram,กลาง,95
pantip,pantip_unigram,???,49
pantip,pantip_unigram,ช่วย,411
pantip,pantip_unigram,ต้น,243
pantip,pantip_unigram,ไม้,108
pantip,pantip_unigram,ราคา,338
pantip,pantip_unigram,ร้าน,268
pantip,pantip_unigram,รุ,325
pantip,pantip_unigram,ภาพ,322
pantip,pantip_unigram,สม,257
pantip,pantip_unigram,บัญชี,179
pantip,pantip_unigram,กรุงเทพ,61
pantip,pantip_unigram,ร้อง,79
pantip,pantip_unigram,Y,100
pantip,pantip_unigram,▁M,271
pantip,pantip_unigram,คุ้ม,55
pantip,pantip_unigram,เนื่องจาก,116
pantip,pantip_unigram,ห้อง,221
pantip,pantip_unigram,หนังสือ,198
pantip,pantip_unigram,อากาศ,66
pantip,pantip_unigram,ประเทศ,175
pantip,pantip_unigram,อร์,352
pantip,pantip_unigram,ฝ,290
pantip,pantip_unigram,แก้ไข,84
pantip,pantip_unigram,หลาย,308
pantip,pantip_unigram,ั่ว,90
pantip,pantip_unigram,เพียง,130
pantip,pantip_unigram,ู้,198
pantip,pantip_unigram,แข็ง,51
pantip,pantip_unigram,สร้าง,144
pantip,pantip_unigram,แปล,110
pantip,pantip_unigram,เท,411
pantip,pantip_unigram,ท่าน,154
pantip,pantip_unigram,com,330
pantip,pantip_unigram,ter,144
pantip,pantip_unigram,มากกว่า,138
pantip,pantip_unigram,ไฟฟ้า,73
pantip,pantip_unigram,b,665
pantip,pantip_unigram,j,97
pantip,pantip_unigram,ภูมิ,65
pantip,pantip_unigram,ติ,399
pantip,pantip_unigram,ใกล้,96
pantip,pantip_unigram,ทราบ,162
pantip,pantip_unigram,นะครับ,169
pantip,pantip_unigram,หลัก,188
pantip,pantip_unigram,ปัจจุบัน,74
pantip,pantip_unigram,ใบ,114
pantip,pantip_unigram,จึง,164
pantip,pantip_unigram,ง่าย,122
pantip,pantip_unigram,งค์,165
pantip,pantip_unigram,=,178
pantip,pantip_unigram,▁บาท,295
pantip,pantip_unigram,12,116
pantip,pantip_unigram,50,125
pantip,pantip_unigram,ตร,183
pantip,pantip_unigram,19,147
pantip,pantip_unigram,จํานวน,109
pantip,pantip_unigram,ไฟ,182
pantip,pantip_unigram,หน่วย,54
pantip,pantip_unigram,÷,1
pantip,pantip_unigram,W,173
pantip,pantip_unigram,เดือน,405
pantip,pantip_unigram,เท่านั้น,85
pantip,pantip_unigram,ระยะ,66
pantip,pantip_unigram,ขนาด,142
pantip,pantip_unigram,เล็ก,154
pantip,pantip_unigram,เก็บ,128
